City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,badger,64.8,-147.5333,12.78,10.93,40,2.06,Badger,1683747982
1,bethel,41.3712,-73.414,23.34,18.2,0,3.09,Bethel,1683747983
2,bilibino,68.0546,166.4372,-0.74,-0.74,100,2.02,Bilibino,1683747983
3,remire-montjoly,4.9167,-52.2667,27.02,27.02,75,1.03,Rémire-Montjoly,1683747984
4,papatowai,-46.5619,169.4708,6.46,6.46,100,7.51,Papatowai,1683747984
5,grytviken,-54.2811,-36.5092,-0.45,-0.45,100,5.35,Grytviken,1683747985
6,waitangi,-43.9535,-176.5597,10.46,10.46,41,5.36,Waitangi,1683747986
7,weiser,44.251,-116.9693,19.38,17.7,93,0.45,Weiser,1683747986
8,kununurra,-15.7667,128.7333,17.99,17.99,15,2.57,Kununurra,1683747987
9,margaret river,-33.95,115.0667,14.61,14.61,69,5.25,Margaret River,1683747987
10,ushuaia,-54.8,-68.3,7.81,6.79,75,5.14,Ushuaia,1683747988
11,sergeyevka,53.88,67.4158,7.17,7.17,77,6.0,Sergeevka,1683747988
12,bredasdorp,-34.5322,20.0403,14.47,14.47,80,2.81,Bredasdorp,1683747989
13,taunsa,30.7048,70.6505,31.17,31.17,100,1.18,Taunsa,1683747989
14,port-aux-francais,-49.35,70.2167,6.67,6.67,76,10.43,Port-aux-Français,1683747990
15,richmond,37.5538,-77.4603,25.59,21.54,75,1.54,Richmond,1683747288
16,atafu village,-8.5421,-172.5159,29.33,29.33,10,7.41,Atafu Village,1683747991
17,yellowknife,62.456,-114.3525,16.29,15.87,40,1.54,Yellowknife,1683747992
18,edinburgh of the seven seas,-37.0676,-12.3116,13.42,13.42,100,8.75,Edinburgh of the Seven Seas,1683747992
19,kapuskasing,49.4169,-82.4331,22.05,22.0,0,5.66,Kapuskasing,1683747993
20,blackmans bay,-43.0167,147.3167,4.74,3.07,1,2.3,Blackmans Bay,1683747993
21,ribeira grande,38.5167,-28.7,18.22,18.22,20,8.23,Ribeira Grande,1683747994
22,puerto natales,-51.7236,-72.4875,1.25,1.25,75,2.06,Puerto Natales,1683747899
23,minas de marcona,-15.2119,-75.1103,20.42,20.42,1,6.24,Minas de Marcona,1683747995
24,stanley,54.868,-1.6985,12.16,11.54,20,2.57,Stanley,1683747845
25,phongsali,21.6833,102.1058,15.76,15.76,100,0.11,Phôngsali,1683747997
26,la palma,33.8464,-118.0467,22.39,16.11,75,5.14,La Palma,1683747997
27,georgetown,5.4112,100.3354,28.97,28.96,20,0.0,George Town,1683747983
28,ghadamis,30.1337,9.5007,23.38,23.38,0,3.04,Ghadames,1683747998
29,mingguang,32.7802,117.9638,15.51,15.51,100,2.22,Mingguang,1683747999
30,happy valley-goose bay,53.3168,-60.3315,6.17,6.17,75,6.69,Happy Valley-Goose Bay,1683747911
31,lauro de freitas,-12.8944,-38.3272,28.01,28.01,75,4.63,Lauro de Freitas,1683747370
32,jamestown,42.097,-79.2353,19.73,13.73,0,6.69,Jamestown,1683747406
33,san andres,12.5847,-81.7006,32.01,32.01,20,5.66,San Andrés,1683748001
34,constantia,44.1833,28.65,7.61,7.38,6,3.24,Constanța,1683747862
35,puerto ayora,-0.7393,-90.3518,29.98,27.53,58,3.13,Puerto Ayora,1683748002
36,port alfred,-33.5906,26.891,20.91,20.91,9,4.6,Port Alfred,1683748003
37,khandyga,62.6667,135.6,1.84,1.84,100,3.76,Khandyga,1683748003
38,tiksi,71.6872,128.8694,-15.02,-15.02,22,5.62,Tiksi,1683748004
39,coquimbo,-29.9533,-71.3436,13.85,13.85,75,5.66,Coquimbo,1683747824
40,adamstown,-25.066,-130.1015,21.92,21.92,100,9.96,Adamstown,1683747978
41,puerto deseado,-47.7503,-65.8938,10.02,10.02,100,13.32,Puerto Deseado,1683748006
42,iqaluit,63.7506,-68.5145,-0.15,-0.17,20,6.17,Iqaluit,1683748006
43,enewetak,11.3474,162.3373,27.45,27.45,70,7.02,Enewetak,1683748007
44,hasaki,35.7333,140.8333,14.22,12.38,100,6.76,Hasaki,1683748007
45,aligudarz,33.4006,49.6949,10.93,10.93,1,1.63,Aligoodarz,1683748008
46,karratha,-20.7377,116.8463,23.25,23.25,99,2.71,Karratha,1683748008
47,cadale,2.7603,46.3222,27.08,27.08,20,7.97,Cadale,1683748009
48,ugoofaaru,5.6667,73.0,28.91,28.91,100,3.93,Ugoofaaru,1683748009
49,wailua homesteads,22.0669,-159.378,25.44,23.4,0,6.17,Wailua Homesteads,1683748011
50,nagqu,31.5,92.0,-6.38,-6.38,100,3.89,Nagqu Prefecture,1683748011
51,codrington,-38.2667,141.9667,6.99,6.99,1,3.6,Codrington,1683748012
52,olonkinbyen,70.9221,-8.7187,0.76,0.76,100,5.3,Olonkinbyen,1683748012
53,college,64.8569,-147.8028,12.83,10.97,75,2.06,College,1683748013
54,qamdo,31.1667,97.2333,0.52,0.52,99,1.27,Chamdo,1683748013
55,al wajh,26.2455,36.4525,24.97,24.97,0,2.06,Wej,1683748014
56,qaisumah,28.3112,46.1273,29.98,29.98,0,4.12,Qaisumah,1683748014
57,saipan,15.1355,145.701,27.39,26.47,0,2.57,Saipan,1683748015
58,chaiyaphum,15.75,102.0,29.99,29.99,76,2.71,Chaiyaphum,1683748016
59,rezh,57.37,61.4043,6.04,6.04,55,2.26,Rezh,1683748017
60,maragogi,-9.0122,-35.2225,26.06,26.06,8,2.69,Maragogi,1683748017
61,embarcacion,-23.209,-64.096,25.68,25.12,100,1.85,Embarcación,1683748018
62,avarua,-21.2078,-159.775,26.03,26.03,75,6.69,Avarua,1683748019
63,kailua-kona,19.6406,-155.9956,27.38,24.22,40,5.14,Kailua-Kona,1683748019
